Date,Team,Opponent,Team Score,Opponent Score,Team Result
10-03-2013,Albany NY,Stony Brook,61,59,Win
10-03-2013,Stony Brook,Albany NY,59,61,Loss
10-03-2013,Indiana,Michigan,72,71,Win
10-03-2013,Michigan,Indiana,71,72,Loss
10-03-2013,Michigan St,Northwestern,71,61,Win
10-03-2013,Northwestern,Michigan St,61,71,Loss
10-03-2013,Ohio St,Illinois,68,55,Win
10-03-2013,Illinois,Ohio St,55,68,Loss
10-03-2013,Wisconsin,Penn St,63,60,Win
10-03-2013,Penn St,Wisconsin,60,63,Loss
10-03-2013,Temple,VA Commonwealth,84,76,Win
10-03-2013,VA Commonwealth,Temple,76,84,Loss
10-03-2013,Virginia,Maryland,61,58,Win
10-03-2013,Maryland,Virginia,58,61,Loss
10-03-2013,Wake Forest,Virginia Tech,90,79,Win
10-03-2013,Virginia Tech,Wake Forest,79,90,Loss
09-03-2013,Air Force,New Mexico,89,88,Win
09-03-2013,New Mexico,Air Force,88,89,Loss
09-03-2013,Kent,Akron,68,64,Win
09-03-2013,Akron,Kent,64,68,Loss
09-03-2013,Alabama,Georgia,61,58,Win
09-03-2013,Georgia,Alabama,58,61,Loss
09-03-2013,Albany NY,Maine,50,49,Win
09-03-2013,Maine,Albany NY,49,50,Loss
09-03-2013,Arizona,Arizona St,73,58,Win
09-03-2013,Arizona St,Arizona,58,73,Loss
09-03-2013,Arkansas,Texas A&M,73,62,Win
09-03-2013,Texas A&M,Arkansas,62,73,Loss
09-03-2013,Ball St,N Illinois,53,51,Win
09-03-2013,N Illinois,Ball St,51,53,Loss
09-03-2013,Baylor,Kansas,81,58,Win
09-03-2013,Kansas,Baylor,58,81,Loss
09-03-2013,Boise St,San Diego St,69,65,Win
09-03-2013,San Diego St,Boise St,65,69,Loss
09-03-2013,Boston College,Georgia Tech,74,72,Win
09-03-2013,Georgia Tech,Boston College,72,74,Loss
09-03-2013,Bowling Green,Buffalo,76,65,Win
09-03-2013,Buffalo,Bowling Green,65,76,Loss
09-03-2013,Brown,Princeton,80,67,Win
09-03-2013,Princeton,Brown,67,80,Loss
09-03-2013,Bucknell,Army,78,70,Win
09-03-2013,Army,Bucknell,70,78,Loss
09-03-2013,Butler,Xavier,67,62,Win
09-03-2013,Xavier,Butler,62,67,Loss
09-03-2013,Cal Poly SLO,CS Fullerton,62,60,Win
09-03-2013,CS Fullerton,Cal Poly SLO,60,62,Loss
09-03-2013,Cent Arkansas,Oral Roberts,86,84,Win
09-03-2013,Oral Roberts,Cent Arkansas,84,86,Loss
09-03-2013,Charlotte,St Joseph's PA,52,40,Win
09-03-2013,St Joseph's PA,Charlotte,40,52,Loss
09-03-2013,Cincinnati,South Florida,61,53,Win
09-03-2013,South Florida,Cincinnati,53,61,Loss
09-03-2013,Oregon St,Colorado,64,58,Win
09-03-2013,Colorado,Oregon St,58,64,Loss
09-03-2013,Colorado St,Nevada,77,66,Win
09-03-2013,Nevada,Colorado St,66,77,Loss
09-03-2013,Connecticut,Providence,63,59,Win
09-03-2013,Providence,Connecticut,59,63,Loss
09-03-2013,Dartmouth,Columbia,64,58,Win
09-03-2013,Columbia,Dartmouth,58,64,Loss
09-03-2013,Denver,Louisiana Tech,78,54,Win
09-03-2013,Louisiana Tech,Denver,54,78,Loss
09-03-2013,Pittsburgh,DePaul,81,66,Win
09-03-2013,DePaul,Pittsburgh,66,81,Loss
09-03-2013,Toledo,E Michigan,78,67,Win
09-03-2013,E Michigan,Toledo,67,78,Loss
09-03-2013,East Carolina,Marshall,86,79,Win
09-03-2013,Marshall,East Carolina,79,86,Loss
09-03-2013,Florida St,NC State,71,67,Win
09-03-2013,NC State,Florida St,67,71,Loss
09-03-2013,G Washington,Dayton,81,80,Win
09-03-2013,Dayton,G Washington,80,81,Loss
09-03-2013,Georgetown,Syracuse,61,39,Win
09-03-2013,Syracuse,Georgetown,39,61,Loss
09-03-2013,Harvard,Cornell,65,56,Win
09-03-2013,Cornell,Harvard,56,65,Loss
09-03-2013,Chicago St,Houston Bap,71,58,Win
09-03-2013,Houston Bap,Chicago St,58,71,Loss
09-03-2013,Idaho,Seattle,76,72,Win
09-03-2013,Seattle,Idaho,72,76,Loss
09-03-2013,Idaho St,Portland St,72,71,Win
09-03-2013,Portland St,Idaho St,71,72,Loss
09-03-2013,Iowa,Nebraska,74,60,Win
09-03-2013,Nebraska,Iowa,60,74,Loss
09-03-2013,Kentucky,Florida,61,57,Win
09-03-2013,Florida,Kentucky,57,61,Loss
09-03-2013,Lafayette,Lehigh,82,69,Win
09-03-2013,Lehigh,Lafayette,69,82,Loss
09-03-2013,Louisville,Notre Dame,73,57,Win
09-03-2013,Notre Dame,Louisville,57,73,Loss
09-03-2013,Mississippi,LSU,81,67,Win
09-03-2013,LSU,Mississippi,67,81,Loss
09-03-2013,Memphis,UAB,86,71,Win
09-03-2013,UAB,Memphis,71,86,Loss
09-03-2013,FL Gulf Coast,Mercer,88,75,Win
09-03-2013,Mercer,FL Gulf Coast,75,88,Loss
09-03-2013,Miami FL,Clemson,62,49,Win
09-03-2013,Clemson,Miami FL,49,62,Loss
09-03-2013,Mississippi St,Auburn,74,71,Win
09-03-2013,Auburn,Mississippi St,71,74,Loss
09-03-2013,Montana,Northern Arizona,63,50,Win
09-03-2013,Northern Arizona,Montana,50,63,Loss
09-03-2013,Montana St,CS Sacramento,71,55,Win
09-03-2013,CS Sacramento,Montana St,55,71,Loss
09-03-2013,New Mexico St,UT Arlington,69,66,Win
09-03-2013,UT Arlington,New Mexico St,66,69,Loss
09-03-2013,McNeese St,Nicholls St,91,88,Win
09-03-2013,Nicholls St,McNeese St,88,91,Loss
