Date,Team,Team Score,Opponent,Opponent Score,Team Result
14-11-2014,Liberty,69,Randolph Col,45,Win
14-11-2014,Randolph Col,45,Liberty,69,Loss
14-11-2014,Valparaiso,90,ETSU,76,Win
14-11-2014,ETSU,76,Valparaiso,90,Loss
14-11-2014,Texas Tech,71,Loyola MD,59,Win
14-11-2014,Loyola MD,59,Texas Tech,71,Loss
14-11-2014,Kansas St,98,Southern Utah,68,Win
14-11-2014,Southern Utah,68,Kansas St,98,Loss
14-11-2014,Loyola-Chicago,71,Rockhurst,58,Win
14-11-2014,Rockhurst,58,Loyola-Chicago,71,Loss
14-11-2014,NC A&T,91,Greensboro,61,Win
14-11-2014,Greensboro,61,NC A&T,91,Loss
14-11-2014,Norfolk St,81,Pfeiffer,43,Win
14-11-2014,Pfeiffer,43,Norfolk St,81,Loss
14-11-2014,Missouri St,64,E Illinois,53,Win
14-11-2014,E Illinois,53,Missouri St,64,Loss
14-11-2014,Alabama St,105,Auburn M'gomery,64,Win
14-11-2014,Auburn M'gomery,64,Alabama St,105,Loss
14-11-2014,Michigan St,64,Navy,59,Win
14-11-2014,Navy,59,Michigan St,64,Loss
14-11-2014,Louisiana Tech,85,Southern Univ,76,Win
14-11-2014,Southern Univ,76,Louisiana Tech,85,Loss
14-11-2014,Missouri KC,69,Missouri,61,Win
14-11-2014,Missouri,61,Missouri KC,69,Loss
14-11-2014,Incarnate Word,89,UT Tyler,49,Win
14-11-2014,UT Tyler,49,Incarnate Word,89,Loss
14-11-2014,Illinois,80,Ga Southern,71,Win
14-11-2014,Ga Southern,71,Illinois,80,Loss
14-11-2014,Wisconsin,62,N Kentucky,31,Win
14-11-2014,N Kentucky,31,Wisconsin,62,Loss
14-11-2014,Notre Dame,82,Binghamton,39,Win
14-11-2014,Binghamton,39,Notre Dame,82,Loss
14-11-2014,Loy Marymount,76,SE Missouri St,66,Win
14-11-2014,SE Missouri St,66,Loy Marymount,76,Loss
14-11-2014,Lipscomb,91,Berry,70,Win
14-11-2014,Berry,70,Lipscomb,91,Loss
14-11-2014,Creighton,104,Cent Arkansas,77,Win
14-11-2014,Cent Arkansas,77,Creighton,104,Loss
14-11-2014,Col Charleston,75,Furman,40,Win
14-11-2014,Furman,40,Col Charleston,75,Loss
14-11-2014,UT San Antonio,92,Huston-Tillot,74,Win
14-11-2014,Huston-Tillot,74,UT San Antonio,92,Loss
14-11-2014,TX Pan American,88,Wayland,80,Win
14-11-2014,Wayland,80,TX Pan American,88,Loss
14-11-2014,Colorado,65,Drexel,48,Win
14-11-2014,Drexel,48,Colorado,65,Loss
14-11-2014,Arizona,78,Mt St Mary's,55,Win
14-11-2014,Mt St Mary's,55,Arizona,78,Loss
14-11-2014,Kentucky,85,Grand Canyon,45,Win
14-11-2014,Grand Canyon,45,Kentucky,85,Loss
14-11-2014,North Carolina,76,NC Central,60,Win
14-11-2014,NC Central,60,North Carolina,76,Loss
14-11-2014,Akron,74,UMBC,57,Win
14-11-2014,UMBC,57,Akron,74,Loss
14-11-2014,Stetson,75,Edward Waters,61,Win
14-11-2014,Edward Waters,61,Stetson,75,Loss
14-11-2014,Hofstra,94,Jacksonville,61,Win
14-11-2014,Jacksonville,61,Hofstra,94,Loss
14-11-2014,Georgia St,115,TN Temple,55,Win
14-11-2014,TN Temple,55,Georgia St,115,Loss
14-11-2014,TAM C. Christi,73,Our Lady Lake,58,Win
14-11-2014,Our Lady Lake,58,TAM C. Christi,73,Loss
14-11-2014,SF Austin,75,Mississippi Col,49,Win
14-11-2014,Mississippi Col,49,SF Austin,75,Loss
