"","Team","Opponent","Loss","Win","WinProb","Matches"
"1","Air Force","Ark Pine Bluff",0,3,1,3
"2","Air Force","Army",1,2,0.666666666666667,3
"3","Air Force","Boise St",5,2,0.285714285714286,7
"4","Air Force","Citadel",0,2,1,2
"5","Air Force","Colorado",3,0,0,3
"6","Air Force","Colorado St",6,0,0,6
"7","Air Force","Florida",1,0,0,1
"8","Air Force","Fresno St",5,1,0.166666666666667,6
"9","Air Force","Grambling",0,1,1,1
"10","Air Force","Jackson St",1,1,0.5,2
"11","Air Force","Jacksonville St",0,1,1,1
"12","Air Force","Montana St",0,1,1,1
"13","Air Force","NE Omaha",0,1,1,1
"14","Air Force","Nevada",4,2,0.333333333333333,6
"15","Air Force","New Mexico",3,3,0.5,6
"16","Air Force","New Orleans",0,1,1,1
"17","Air Force","Richmond",2,0,0,2
"18","Air Force","San Diego St",5,1,0.166666666666667,6
"19","Air Force","San Jose St",0,4,1,4
"20","Air Force","South Dakota",0,1,1,1
"21","Air Force","Texas Tech",1,0,0,1
"22","Air Force","UC Davis",2,0,0,2
"23","Air Force","UC Riverside",0,2,1,2
"24","Air Force","UNLV",3,3,0.5,6
"25","Air Force","Utah St",2,1,0.333333333333333,3
"26","Air Force","VMI",1,0,0,1
"27","Air Force","Wichita St",1,0,0,1
"28","Air Force","Wyoming",1,4,0.8,5
"29","Air Force","Colorado Chr",0,2,1,2
"30","Air Force","Western St CO",0,2,1,2
"31","Akron","Ark Pine Bluff",0,2,1,2
"32","Akron","Ball St",0,4,1,4
"33","Akron","Bethune-Cookman",0,1,1,1
"34","Akron","Bowling Green",0,6,1,6
"35","Akron","Bryant",0,1,1,1
"36","Akron","Buffalo",4,3,0.428571428571429,7
"37","Akron","Cleveland St",0,2,1,2
"38","Akron","C Michigan",0,3,1,3
"39","Akron","Coastal Car",1,1,0.5,2
"40","Akron","Coppin St",0,3,1,3
"41","Akron","Creighton",1,0,0,1
"42","Akron","Detroit",1,1,0.5,2
"43","Akron","E Michigan",1,3,0.75,4
"44","Akron","Iowa St",1,0,0,1
"45","Akron","Kent",4,4,0.5,8
"46","Akron","Marshall",0,2,1,2
"47","Akron","Miami FL",1,0,0,1
"48","Akron","Miami OH",3,3,0.5,6
"49","Akron","Middle Tenn St",1,1,0.5,2
"50","Akron","N Dakota St",1,1,0.5,2
"51","Akron","N Illinois",1,3,0.75,4
"52","Akron","Ohio",2,5,0.714285714285714,7
"53","Akron","Oklahoma St",1,0,0,1
"54","Akron","Oral Roberts",0,1,1,1
"55","Akron","Oregon St",0,1,1,1
"56","Akron","Penn St",1,1,0.5,2
"57","Akron","Princeton",0,1,1,1
"58","Akron","South Carolina",2,1,0.333333333333333,3
"59","Akron","St Mary's CA",1,0,0,1
"60","Akron","Toledo",3,1,0.25,4
"61","Akron","TX Southern",0,1,1,1
"62","Akron","UNC Asheville",0,1,1,1
"63","Akron","USC",0,1,1,1
"64","Akron","W Illinois",0,1,1,1
"65","Akron","W Michigan",2,4,0.666666666666667,6
"66","Akron","UMBC",0,1,1,1
"67","Akron","Bluffton",0,1,1,1
"68","Akron","MTSU",1,0,0,1
"69","Alabama","Appalachian St",0,1,1,1
"70","Alabama","Arizona St",0,1,1,1
"71","Alabama","Arkansas",2,2,0.5,4
"72","Alabama","Auburn",2,4,0.666666666666667,6
"73","Alabama","Charleston So",0,2,1,2
"74","Alabama","Cincinnati",1,0,0,1
"75","Alabama","Dayton",1,0,0,1
"76","Alabama","Drexel",1,0,0,1
"77","Alabama","Duke",1,0,0,1
"78","Alabama","Florida",5,0,0,5
"79","Alabama","Georgia",2,2,0.5,4
"80","Alabama","Georgia St",0,1,1,1
"81","Alabama","Iowa St",1,0,0,1
"82","Alabama","Kentucky",3,1,0.25,4
"83","Alabama","Lamar",0,1,1,1
"84","Alabama","LSU",3,2,0.4,5
"85","Alabama","Mercer",1,0,0,1
"86","Alabama","Mississippi",3,1,0.25,4
"87","Alabama","Mississippi St",0,4,1,4
"88","Alabama","Missouri",2,2,0.5,4
"89","Alabama","North Florida",0,2,1,2
"90","Alabama","Oakland",0,1,1,1
"91","Alabama","Oklahoma",1,0,0,1
"92","Alabama","Oregon St",0,1,1,1
"93","Alabama","Robert Morris",0,1,1,1
"94","Alabama","S Dakota St",0,1,1,1
"95","Alabama","South Carolina",2,2,0.5,4
"96","Alabama","Southern Miss",0,1,1,1
"97","Alabama","South Florida",1,1,0.5,2
"98","Alabama","Tennessee",2,2,0.5,4
"99","Alabama","Tennessee Tech",0,1,1,1
"100","Alabama","Texas A&M",1,3,0.75,4
"101","Alabama","Texas Tech",0,2,1,2
"102","Alabama","Towson",0,1,1,1
"103","Alabama","Tulane",1,0,0,1
"104","Alabama","UCLA",1,1,0.5,2
"105","Alabama","VA Commonwealth",1,0,0,1
"106","Alabama","Vanderbilt",2,2,0.5,4
"107","Alabama","Villanova",0,1,1,1
"108","Alabama","W Carolina",0,1,1,1
"109","Alabama","Wichita St",2,0,0,2
"110","Alabama","Xavier",2,0,0,2
"111","Alabama","Stillman",0,2,1,2
"112","Alabama A&M","Alabama St",3,3,0.5,6
"113","Alabama A&M","Alcorn St",3,3,0.5,6
"114","Alabama A&M","Arkansas",1,0,0,1
"115","Alabama A&M","Ark Pine Bluff",5,2,0.285714285714286,7
"116","Alabama A&M","Bowling Green",1,0,0,1
"117","Alabama A&M","Dayton",1,0,0,1
"118","Alabama A&M","E Kentucky",1,0,0,1
"119","Alabama A&M","Evansville",1,0,0,1
"120","Alabama A&M","Georgia Tech",1,0,0,1
"121","Alabama A&M","Grambling",0,6,1,6
"122","Alabama A&M","Iowa St",1,0,0,1
"123","Alabama A&M","Jackson St",3,3,0.5,6
"124","Alabama A&M","Jacksonville St",3,0,0,3
"125","Alabama A&M","Marquette",1,0,0,1
"126","Alabama A&M","Mercer",1,0,0,1
"127","Alabama A&M","Mississippi St",0,1,1,1
"128","Alabama A&M","Missouri St",1,1,0.5,2
"129","Alabama A&M","MS Valley St",1,5,0.833333333333333,6
"130","Alabama A&M","Murray St",1,0,0,1
"131","Alabama A&M","New Mexico",1,0,0,1
"132","Alabama A&M","Ohio",1,0,0,1
"133","Alabama A&M","Prairie View",5,2,0.285714285714286,7
"134","Alabama A&M","SE Missouri St",1,0,0,1
"135","Alabama A&M","Southern Univ",7,0,0,7
"136","Alabama A&M","Tennessee St",1,1,0.5,2
"137","Alabama A&M","TX Southern",5,1,0.166666666666667,6
"138","Alabama A&M","UAB",1,0,0,1
"139","Alabama A&M","Vanderbilt",1,0,0,1
"140","Alabama A&M","Virginia Tech",1,0,0,1
"141","Alabama A&M","W Michigan",2,0,0,2
"142","Alabama A&M","AL Huntsville",0,1,1,1
"143","Alabama A&M","Oakwood",0,2,1,2
"144","Alabama St","Alabama A&M",3,3,0.5,6
"145","Alabama St","Alcorn St",0,7,1,7
"146","Alabama St","Arkansas",1,0,0,1
"147","Alabama St","Ark Pine Bluff",3,3,0.5,6
"148","Alabama St","Bradley",1,0,0,1
"149","Alabama St","Chicago St",1,1,0.5,2
"150","Alabama St","Detroit",1,0,0,1
"151","Alabama St","Evansville",2,0,0,2
"152","Alabama St","Florida",1,0,0,1
"153","Alabama St","Georgia Tech",1,0,0,1
"154","Alabama St","Grambling",0,6,1,6
"155","Alabama St","Illinois",1,0,0,1
"156","Alabama St","Jackson St",2,4,0.666666666666667,6
"157","Alabama St","Jacksonville St",0,2,1,2
"158","Alabama St","Middle Tenn St",1,0,0,1
"159","Alabama St","MS Valley St",0,7,1,7
"160","Alabama St","North Dakota",1,0,0,1
"161","Alabama St","Pepperdine",1,0,0,1
"162","Alabama St","Prairie View",3,3,0.5,6
"163","Alabama St","Savannah St",1,0,0,1
"164","Alabama St","Southern Univ",5,2,0.285714285714286,7
"165","Alabama St","Troy",2,1,0.333333333333333,3
"166","Alabama St","Tulane",1,0,0,1
"167","Alabama St","TX Pan American",1,1,0.5,2
"168","Alabama St","TX Southern",6,1,0.142857142857143,7
"169","Alabama St","UCF",1,0,0,1
"170","Alabama St","Utah",1,0,0,1
"171","Alabama St","W Illinois",1,1,0.5,2
"172","Alabama St","WI Milwaukee",1,0,0,1
"173","Alabama St","Auburn M'gomery",0,2,1,2
"174","Alabama St","Fort Valley St",0,1,1,1
"175","Alabama St","Mobile",0,1,1,1
"176","Alabama St","Thomas GA",0,1,1,1
"177","Albany NY","Binghamton",0,6,1,6
"178","Albany NY","Boston Univ",2,0,0,2
"179","Albany NY","Brown",0,2,1,2
"180","Albany NY","Bucknell",2,0,0,2
"181","Albany NY","Colgate",1,2,0.666666666666667,3
"182","Albany NY","Drake",1,0,0,1
"183","Albany NY","Duquesne",1,1,0.5,2
"184","Albany NY","Fairfield",0,2,1,2
"185","Albany NY","Hartford",1,5,0.833333333333333,6
"186","Albany NY","Holy Cross",2,0,0,2
"187","Albany NY","Loyola MD",1,0,0,1
"188","Albany NY","Maine",1,7,0.875,8
"189","Albany NY","MD Baltimore Co",0,2,1,2
"190","Albany NY","Missouri KC",0,1,1,1
"191","Albany NY","Navy",0,1,1,1
"192","Albany NY","New Hampshire",1,6,0.857142857142857,7
"193","Albany NY","Niagara",1,0,0,1
"194","Albany NY","NJIT",0,4,1,4
"195","Albany NY","Ohio St",1,0,0,1
"196","Albany NY","Pittsburgh",1,0,0,1
"197","Albany NY","Providence",1,0,0,1
"198","Albany NY","Quinnipiac",3,0,0,3
"199","Albany NY","Rider",0,1,1,1
"200","Albany NY","S Carolina St",0,2,1,2
"201","Albany NY","Siena",0,3,1,3
"202","Albany NY","St Francis NY",0,1,1,1
"203","Albany NY","St Francis PA",1,0,0,1
"204","Albany NY","Stony Brook",4,5,0.555555555555556,9
"205","Albany NY","UNLV",1,0,0,1
"206","Albany NY","Vermont",4,3,0.428571428571429,7
"207","Albany NY","Wagner",0,1,1,1
"208","Albany NY","Washington",0,1,1,1
"209","Albany NY","Yale",0,2,1,2
"210","Albany NY","MA Lowell",1,3,0.75,4
"211","Albany NY","UMBC",1,4,0.8,5
"212","Alcorn St","Alabama A&M",3,3,0.5,6
"213","Alcorn St","Alabama St",7,0,0,7
"214","Alcorn St","Arkansas",1,0,0,1
"215","Alcorn St","Ark Pine Bluff",4,2,0.333333333333333,6
"216","Alcorn St","California",1,0,0,1
"217","Alcorn St","Canisius",1,0,0,1
"218","Alcorn St","Creighton",1,0,0,1
"219","Alcorn St","Denver",1,0,0,1
"220","Alcorn St","Detroit",1,0,0,1
"221","Alcorn St","FL Gulf Coast",1,0,0,1
"222","Alcorn St","Grambling",1,6,0.857142857142857,7
"223","Alcorn St","Hampton",1,0,0,1
"224","Alcorn St","Houston",1,0,0,1
"225","Alcorn St","Iowa",1,0,0,1
"226","Alcorn St","Jackson St",4,2,0.333333333333333,6
"227","Alcorn St","Jacksonville St",2,0,0,2
"228","Alcorn St","Kennesaw",1,0,0,1
"229","Alcorn St","Mercer",1,0,0,1
"230","Alcorn St","Mississippi St",1,0,0,1
"231","Alcorn St","Missouri",1,0,0,1
"232","Alcorn St","MS Valley St",2,4,0.666666666666667,6
"233","Alcorn St","Murray St",1,0,0,1
"234","Alcorn St","N Dakota St",1,0,0,1
"235","Alcorn St","Ohio",1,0,0,1
"236","Alcorn St","Prairie View",2,4,0.666666666666667,6
"237","Alcorn St","Samford",0,1,1,1
"238","Alcorn St","Santa Clara",1,0,0,1
"239","Alcorn St","SMU",1,0,0,1
"240","Alcorn St","Southern Univ",5,1,0.166666666666667,6
"241","Alcorn St","Stanford",1,0,0,1
"242","Alcorn St","St Mary's CA",1,0,0,1
"243","Alcorn St","Syracuse",1,0,0,1
"244","Alcorn St","Temple",1,0,0,1
"245","Alcorn St","Texas",1,0,0,1
"246","Alcorn St","Troy",2,0,0,2
"247","Alcorn St","TX Southern",7,0,0,7
"248","Alcorn St","UTEP",1,0,0,1
"249","Alcorn St","W Illinois",1,0,0,1
"250","Alcorn St","Wright St",1,0,0,1
"251","Alcorn St","Dillard",0,2,1,2
"252","Alcorn St","Mississippi Col",0,1,1,1
"253","Alcorn St","Tougaloo",0,1,1,1
"254","Alcorn St","Concordia AL",1,0,0,1
"255","American Univ","Army",5,2,0.285714285714286,7
"256","American Univ","Boston Univ",3,2,0.4,5
"257","American Univ","Brown",1,1,0.5,2
"258","American Univ","Bucknell",5,1,0.166666666666667,6
"259","American Univ","Colgate",2,6,0.75,8
"260","American Univ","Columbia",3,0,0,3
"261","American Univ","Cornell",1,0,0,1
"262","American Univ","FL Atlantic",1,0,0,1
"263","American Univ","George Mason",1,0,0,1
"264","American Univ","Georgetown",1,0,0,1
"265","American Univ","Hampton",1,1,0.5,2
"266","American Univ","Holy Cross",1,6,0.857142857142857,7
"267","American Univ","Howard",1,1,0.5,2
"268","American Univ","Illinois",1,0,0,1
"269","American Univ","Kansas",1,0,0,1
"270","American Univ","Lafayette",3,4,0.571428571428571,7
"271","American Univ","La Salle",0,1,1,1
"272","American Univ","Lehigh",3,4,0.571428571428571,7
"273","American Univ","Louisiana Tech",1,0,0,1
"274","American Univ","Loyola MD",2,2,0.5,4
"275","American Univ","MD Baltimore Co",0,1,1,1
"276","American Univ","MD E Shore",0,2,1,2
"277","American Univ","Minnesota",1,0,0,1
"278","American Univ","Morehead St",0,1,1,1
"279","American Univ","Mt St Mary's",1,2,0.666666666666667,3
"280","American Univ","Navy",2,4,0.666666666666667,6
"281","American Univ","Ohio St",1,0,0,1
"282","American Univ","Presbyterian",0,1,1,1
"283","American Univ","Quinnipiac",0,1,1,1
"284","American Univ","San Francisco",2,0,0,2
"285","American Univ","St Francis PA",0,3,1,3
"286","American Univ","St Joseph's PA",1,0,0,1
"287","American Univ","St Mary's CA",1,0,0,1
"288","American Univ","Stony Brook",1,0,0,1
"289","American Univ","Temple",1,0,0,1
"290","American Univ","UMBC",0,1,1,1
"291","Appalachian St","Alabama",1,0,0,1
"292","Appalachian St","Arkansas St",1,1,0.5,2
"293","Appalachian St","Ark Little Rock",2,0,0,2
"294","Appalachian St","Campbell",2,0,0,2
"295","Appalachian St","Charlotte",2,0,0,2
"296","Appalachian St","Chattanooga",3,1,0.25,4
"297","Appalachian St","Cincinnati",1,0,0,1
"298","Appalachian St","Citadel",1,2,0.666666666666667,3
"299","Appalachian St","Col Charleston",1,0,0,1
"300","Appalachian St","Davidson",3,0,0,3
"301","Appalachian St","Duquesne",2,0,0,2
"302","Appalachian St","East Carolina",1,0,0,1
"303","Appalachian St","Elon",3,1,0.25,4
"304","Appalachian St","Furman",2,1,0.333333333333333,3
"305","Appalachian St","Ga Southern",2,3,0.6,5
"306","Appalachian St","Georgia",1,0,0,1
"307","Appalachian St","Georgia St",1,1,0.5,2
"308","Appalachian St","Georgia Tech",1,0,0,1
"309","Appalachian St","Hampton",0,1,1,1
"310","Appalachian St","High Point",1,0,0,1
"311","Appalachian St","Hofstra",1,0,0,1
"312","Appalachian St","Jacksonville",0,1,1,1
"313","Appalachian St","Missouri",1,0,0,1
"314","Appalachian St","Missouri KC",0,1,1,1
"315","Appalachian St","NC Central",1,0,0,1
"316","Appalachian St","NC State",1,0,0,1
"317","Appalachian St","Ohio",1,0,0,1
"318","Appalachian St","Presbyterian",1,1,0.5,2
"319","Appalachian St","Samford",2,3,0.6,5
"320","Appalachian St","South Alabama",1,1,0.5,2
"321","Appalachian St","South Carolina",1,0,0,1
"322","Appalachian St","Texas St",0,2,1,2
"323","Appalachian St","Troy",0,2,1,2
"324","Appalachian St","ULL",2,0,0,2
"325","Appalachian St","ULM",1,1,0.5,2
"326","Appalachian St","UNC Greensboro",2,2,0.5,4
"327","Appalachian St","UT Arlington",1,1,0.5,2
"328","Appalachian St","Virginia Tech",1,1,0.5,2
"329","Appalachian St","W Carolina",3,1,0.25,4
"330","Appalachian St","Winthrop",1,0,0,1
"331","Appalachian St","Wofford",1,1,0.5,2
"332","Appalachian St","Bluefield VA",0,1,1,1
"333","Appalachian St","Lee-McRae",0,1,1,1
"334","Appalachian St","Milligan",0,1,1,1
"335","Appalachian St","North Greenville",0,1,1,1
"336","Arizona","Arizona St",2,4,0.666666666666667,6
"337","Arizona","California",2,4,0.666666666666667,6
"338","Arizona","Cal Poly SLO",0,1,1,1
"339","Arizona","Charleston So",0,1,1,1
"340","Arizona","Clemson",0,1,1,1
"341","Arizona","Colorado",1,6,0.857142857142857,7
"342","Arizona","CS Northridge",0,1,1,1
"343","Arizona","Drexel",0,1,1,1
"344","Arizona","Duke",0,1,1,1
"345","Arizona","ETSU",0,1,1,1
"346","Arizona","F Dickinson",0,1,1,1
"347","Arizona","Florida",0,1,1,1
"348","Arizona","Gardner Webb",0,1,1,1
"349","Arizona","Gonzaga",0,1,1,1
"350","Arizona","Kansas St",0,1,1,1
"351","Arizona","Long Beach St",0,2,1,2
"352","Arizona","Miami FL",0,1,1,1
"353","Arizona","Michigan",0,2,1,2
"354","Arizona","Missouri",0,1,1,1
"355","Arizona","Mt St Mary's",0,1,1,1
"356","Arizona","New Mexico St",0,1,1,1
"357","Arizona","Northern Arizona",0,2,1,2
"358","Arizona","Oakland",0,1,1,1
"359","Arizona","Oral Roberts",0,1,1,1
"360","Arizona","Oregon",2,4,0.666666666666667,6
"361","Arizona","Oregon St",1,4,0.8,5
"362","Arizona","Rhode Island",0,1,1,1
"363","Arizona","San Diego St",0,3,1,3
"364","Arizona","Southern Miss",0,1,1,1
"365","Arizona","Southern Univ",0,1,1,1
"366","Arizona","Stanford",0,5,1,5
"367","Arizona","Texas Tech",0,2,1,2
"368","Arizona","UC Irvine",0,1,1,1
"369","Arizona","UCLA",3,3,0.5,6
"370","Arizona","UNLV",1,1,0.5,2
"371","Arizona","USC",1,3,0.75,4
"372","Arizona","Utah",0,7,1,7
"373","Arizona","Utah Valley",0,1,1,1
"374","Arizona","UTEP",0,2,1,2
"375","Arizona","Washington",0,4,1,4
"376","Arizona","Washington St",1,3,0.75,4
"377","Arizona St","Alabama",1,0,0,1
"378","Arizona St","Arizona",4,2,0.333333333333333,6
"379","Arizona St","Arkansas",0,1,1,1
"380","Arizona St","Ark Pine Bluff",0,1,1,1
"381","Arizona St","Bethune-Cookman",0,1,1,1
"382","Arizona St","Bradley",0,1,1,1
"383","Arizona St","California",0,5,1,5
"384","Arizona St","Cent Arkansas",0,1,1,1
"385","Arizona St","Chicago St",0,1,1,1
