"","Team","Team.Score","Opponent.Score","Team.Score.Mean","Opponent.Score.Mean","Team.Score.Var","Opponent.Score.Var","Loss","Win","WinRatio","Matches"
"1","Abilene Chr",4190,4414,67.5806451612903,71.1935483870968,361.755684822845,174.027498677948,41,21,0.338709677419355,62
"2","Adams St",113,147,56.5,73.5,112.5,40.5,2,0,0,2
"3","Air Force",5891,5935,66.9431818181818,67.4431818181818,150.467998955068,162.73236677116,47,41,0.465909090909091,88
"4","AK Anchorage",406,428,67.6666666666667,71.3333333333333,141.466666666667,254.666666666667,5,1,0.166666666666667,6
"5","Akron",6790,6275,69.2857142857143,64.030612244898,109.896907216495,123.225857353251,33,65,0.663265306122449,98
"6","Alabama",6199,5988,65.9468085106383,63.7021276595745,132.69606497369,160.899565316861,44,50,0.531914893617021,94
"7","Alabama A&M",5401,5907,62.8023255813954,68.6860465116279,121.383994528044,115.017920656635,55,31,0.36046511627907,86
"8","Alabama St",6153,6206,68.3666666666667,68.9555555555555,146.998876404494,150.469912609238,43,47,0.522222222222222,90
"9","Albany NY",6346,5971,65.4226804123711,61.5567010309278,101.059063573883,83.9576890034364,32,65,0.670103092783505,97
"10","Albertus Magnus",82,85,82,85,0,0,1,0,0,1
"11","Albion",113,160,56.5,80,264.5,18,2,0,0,2
"12","Alcorn St",5886,6530,62.6170212765957,69.468085106383,146.819492107069,169.90757263784,67,27,0.287234042553192,94
"13","Alfred St",29,107,29,107,0,0,1,0,0,1
"14","AL Huntsville",73,79,73,79,0,0,1,0,0,1
"15","Alice Lloyd",119,225,59.5,112.5,12.5,144.5,2,0,0,2
"16","Allen",146,241,48.6666666666667,80.3333333333333,6.33333333333333,158.333333333333,3,0,0,3
"17","Alma",64,106,64,106,0,0,1,0,0,1
"18","American Univ",5719,5725,60.2,60.2631578947368,109.565957446809,101.940649496081,48,47,0.494736842105263,95
"19","Anderson IN",130,165,65,82.5,18,144.5,2,0,0,2
"20","Appalachian St",5793,6176,67.3604651162791,71.8139534883721,152.680300957592,120.459097127223,53,33,0.383720930232558,86
"21","Aquinas",116,196,58,98,2,242,2,0,0,2
"22","Arizona",7285,5973,74.3367346938775,60.9489795918367,116.205028403114,139.574689669682,14,84,0.857142857142857,98
"23","Arizona Chr",78,85,78,85,0,0,1,0,0,1
"24","Arizona St",6802,6368,71.6,67.0315789473684,143.710638297872,156.052183650616,37,58,0.610526315789474,95
"25","Arkansas",7507,6792,77.3917525773196,70.020618556701,195.886597938144,151.874570446735,31,66,0.680412371134021,97
"26","Arkansas-FS",134,176,67,88,98,0,2,0,0,2
"27","Arkansas St",6228,6093,69.9775280898876,68.4606741573034,153.431307456588,166.069458631256,42,47,0.528089887640449,89
"28","Arkansas Tech",57,94,57,94,0,0,1,0,0,1
"29","Ark Little Rock",6416,6584,68.989247311828,70.7956989247312,138.902057035998,144.990416082281,49,44,0.473118279569892,93
"30","Ark Monticello",201,242,67,80.6666666666667,49,12.3333333333333,3,0,0,3
